Date : 2021-09-21 07:40:22
Directory : /home/nsmyth/Dev/Alkemio/client-web/src
Total : 377 files,  35436 codes, 3414 comments, 3685 blanks, all 42535 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| components/composite/layout                                                                                                 |          8 |        714 |          3 |         50 |        767 |
| components/composite/layout/App                                                                                             |          4 |        370 |          1 |         31 |        402 |
| components/composite/layout/Sidebar                                                                                         |          3 |        312 |          2 |         15 |        329 |
| components/core                                                                                                             |         51 |      3,358 |         87 |        428 |      3,873 |
| components/core/Loading                                                                                                     |          3 |         55 |          9 |         16 |         80 |
| components/core/ScrollButton                                                                                                |          1 |         35 |          0 |          7 |         42 |
| components/core/TagsInput                                                                                                   |          1 |         42 |          1 |          5 |         48 |
| components/core/card-filter                                                                                                 |          5 |        457 |         13 |         33 |        503 |
| components/core/dialog                                                                                                      |          4 |         60 |          0 |          9 |         69 |
| components/icons                                                                                                            |          2 |         20 |          0 |          4 |         24 |
| components/search                                                                                                           |          8 |        478 |          2 |         47 |        527 |
| config                                                                                                                      |          1 |         35 |          0 |          2 |         37 |
| config/graphql                                                                                                              |          1 |         35 |          0 |          2 |         37 |
| containers                                                                                                                  |          6 |        402 |          4 |         48 |        454 |
| containers/community-updates                                                                                                |          2 |         73 |          0 |         11 |         84 |
| containers/organization                                                                                                     |          2 |        263 |          0 |         28 |        291 |
| context                                                                                                                     |         11 |        370 |          4 |         63 |        437 |
| hooks                                                                                                                       |         25 |      6,596 |      2,349 |        258 |      9,203 |
| hooks/authentication                                                                                                        |          2 |         19 |          0 |          7 |         26 |
| hooks/generated                                                                                                             |          1 |      5,961 |      2,319 |        142 |      8,422 |
| hooks/graphql                                                                                                               |          2 |         95 |         11 |         16 |        122 |
| hooks/kratos                                                                                                                |          2 |         53 |          0 |          9 |         62 |
| hooks/operations                                                                                                            |          2 |        149 |          0 |         21 |        170 |
| hooks/user                                                                                                                  |          3 |        109 |          1 |         18 |        128 |
| i18n                                                                                                                        |          2 |        655 |          0 |          5 |        660 |
| i18n/en                                                                                                                     |          1 |        641 |          0 |          1 |        642 |
| models                                                                                                                      |         14 |      6,071 |        428 |        588 |      7,087 |
| models/constants                                                                                                            |          8 |        302 |          0 |         13 |        315 |
| pages                                                                                                                       |         54 |      4,386 |         18 |        452 |      4,856 |
| pages/Admin                                                                                                                 |         16 |        972 |          4 |        139 |      1,115 |
| pages/Admin/Challenge                                                                                                       |          2 |        130 |          0 |         19 |        149 |
| pages/Admin/Community                                                                                                       |          1 |         46 |          0 |          6 |         52 |
| pages/Admin/Ecoverse                                                                                                        |          4 |        301 |          2 |         37 |        340 |
| pages/Admin/Opportunity                                                                                                     |          1 |         50 |          0 |          8 |         58 |
| pages/Admin/Organization                                                                                                    |          4 |        135 |          0 |         23 |        158 |
| pages/Admin/User                                                                                                            |          1 |        161 |          2 |         22 |        185 |
| pages/Authentication                                                                                                        |         10 |        497 |          0 |         62 |        559 |
| pages/Project                                                                                                               |          2 |        189 |          0 |         17 |        206 |
| pages/User                                                                                                                  |          2 |        110 |          3 |         26 |        139 |
| pages/home                                                                                                                  |          3 |        250 |          0 |         15 |        265 |
| pages/organization                                                                                                          |          7 |        387 |          0 |         41 |        428 |
| routing                                                                                                                     |         41 |      1,810 |         18 |        278 |      2,106 |
| routing/admin                                                                                                               |         20 |        951 |          1 |        141 |      1,093 |
| routing/admin/challenge                                                                                                     |          4 |        182 |          0 |         31 |        213 |
| routing/admin/ecoverse                                                                                                      |          4 |        162 |          0 |         23 |        185 |
| routing/admin/opportunity                                                                                                   |          2 |        144 |          0 |         21 |        165 |
| routing/admin/organization                                                                                                  |          3 |        193 |          0 |         30 |        223 |
| routing/application                                                                                                         |          3 |        155 |          3 |         16 |        174 |
| routing/identity                                                                                                            |          8 |        195 |          0 |         35 |        230 |
| routing/user                                                                                                                |          1 |         22 |          0 |          3 |         25 |
| services                                                                                                                    |          4 |         90 |         12 |         20 |        122 |
| services/logging                                                                                                            |          4 |         90 |         12 |         20 |        122 |
| services/logging/sentry                                                                                                     |          3 |         56 |          1 |         11 |         68 |
| services/logging/winston                                                                                                    |          1 |         34 |         11 |          9 |         54 |
| state                                                                                                                       |          3 |         97 |          0 |         14 |        111 |
| state/global                                                                                                                |          3 |         97 |          0 |         14 |        111 |
| state/global/notifications                                                                                                  |          1 |         43 |          0 |          6 |         49 |
| state/global/ui                                                                                                             |          2 |         54 |          0 |          8 |         62 |
| styles                                                                                                                      |         10 |      1,375 |        335 |        453 |      2,163 |
| styles/mixins                                                                                                               |          2 |         27 |         12 |          7 |         46 |
| styles/vendor                                                                                                               |          1 |        126 |         43 |         36 |        205 |
| themes                                                                                                                      |          8 |        275 |          1 |         36 |        312 |
| themes/default                                                                                                              |          8 |        275 |          1 |         36 |        312 |
| themes/default/overrides                                                                                                    |          4 |        158 |          1 |         21 |        180 |
| types                                                                                                                       |          1 |         11 |          0 |          3 |         14 |
| utils                                                                                                                       |         17 |        207 |         19 |         59 |        285 |
| utils/apollo-cache                                                                                                          |          1 |         26 |          7 |          7 |         40 |
| utils/test                                                                                                                  |          1 |         16 |          0 |          4 |         20 |
| views                                                                                                                       |          2 |        389 |          4 |         13 |        406 |
| views/CommunityUpdates                                                                                                      |          1 |        260 |          4 |          7 |        271 |
| views/User                                                                                                                  |          1 |        129 |          0 |          6 |        135 |
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                    | language         | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /home/nsmyth/Dev/Alkemio/client-web/src/components/ActivityPanel/Activities.tsx                                             | TypeScript React |         26 |          0 |          2 |         28 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/ActivityPanel/ActivityCard.tsx                                           | TypeScript React |         38 |          0 |          4 |         42 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/ActivityPanel/StateActivityCardItem.tsx                                  | TypeScript React |         96 |          1 |         13 |        110 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/ActivityPanel/tempMockActivities.ts                                      | TypeScript       |         27 |          0 |          2 |         29 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/Authorization/EditCommunityCredentials.tsx                         | TypeScript React |         74 |          0 |         10 |         84 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/Authorization/EditGroupCredentials.tsx                             | TypeScript React |         69 |          0 |         10 |         79 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/Authorization/EditMemberCredentials.tsx                            | TypeScript React |         35 |          1 |          6 |         42 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/Common/ContextReferenceSegment.tsx                                 | TypeScript React |         30 |          0 |          6 |         36 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/Common/ContextSegment.tsx                                          | TypeScript React |         27 |          0 |          4 |         31 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/Common/CreateGroupForm.tsx                                         | TypeScript React |         62 |          0 |          6 |         68 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/Common/Filter.tsx                                                  | TypeScript React |         42 |          0 |          6 |         48 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/Common/FormikCheckboxField.tsx                                     | TypeScript React |         24 |          0 |          5 |         29 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/Common/FormikInputField.tsx                                        | TypeScript React |         49 |          0 |          3 |         52 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/Common/FormikMarkdownField.tsx                                     | TypeScript React |         59 |          4 |          5 |         68 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/Common/FormikSelect.tsx                                            | TypeScript React |         52 |          0 |          4 |         56 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/Common/NameSegment.tsx                                             | TypeScript React |         34 |          0 |          4 |         38 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/Common/OrganizationSegment.tsx                                     | TypeScript React |         58 |          0 |          4 |         62 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/Common/ProfileReferenceSegment.tsx                                 | TypeScript React |         30 |          0 |          6 |         36 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/Common/ProfileSegment.tsx                                          | TypeScript React |         36 |          0 |          4 |         40 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/Common/ReferenceSegment.tsx                                        | TypeScript React |        142 |          0 |          7 |        149 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/Common/TagsetSegment.tsx                                           | TypeScript React |         85 |          0 |          7 |         92 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/Common/VisualSegment.tsx                                           | TypeScript React |         21 |          0 |          4 |         25 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/Common/useInputField.tsx                                           | TypeScript React |         31 |          0 |          3 |         34 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/Common/useMarkdownInputField.tsx                                   | TypeScript React |         30 |          0 |          3 |         33 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/Common/useProfileStyles.ts                                         | TypeScript       |         15 |          0 |          2 |         17 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/Community/ApplicationDetailsPage.tsx                               | TypeScript React |         14 |          0 |          4 |         18 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/Community/ApplicationPage.tsx                                      | TypeScript React |        201 |          0 |         23 |        224 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/Community/CommunityPage.tsx                                        | TypeScript React |         26 |          0 |          5 |         31 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/Community/CommunityTypes.ts                                        | TypeScript       |         12 |          0 |          4 |         16 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/Community/CreateCommunityGroup.tsx                                 | TypeScript React |         56 |          0 |          9 |         65 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/Community/EditMembers.tsx                                          | TypeScript React |        151 |          0 |          6 |        157 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/Community/LeadingOrganizationPage.tsx                              | TypeScript React |        218 |          0 |         23 |        241 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/EcoverseEditForm.tsx                                               | TypeScript React |        154 |          0 |         14 |        168 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/EditChallenge.tsx                                                  | TypeScript React |        122 |          0 |         13 |        135 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/EditLifecycle.tsx                                                  | TypeScript React |         48 |          0 |          6 |         54 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/EditOpportunity.tsx                                                | TypeScript React |        128 |          0 |         13 |        141 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/FormMode.ts                                                        | TypeScript       |          5 |          0 |          1 |          6 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/Group/EditMembersPage.tsx                                          | TypeScript React |         23 |          0 |          6 |         29 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/Group/GroupForm.tsx                                                | TypeScript React |        169 |          0 |         11 |        180 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/Group/GroupMembersDetails.tsx                                      | TypeScript React |         43 |          0 |          3 |         46 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/Group/GroupPage.tsx                                                | TypeScript React |        104 |          2 |         18 |        124 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/ListPage.tsx                                                       | TypeScript React |         37 |          0 |          5 |         42 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/ManagementPageTemplate.tsx                                         | TypeScript React |         69 |          0 |          9 |         78 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/Organization/CreateOrganizationGroup.tsx                           | TypeScript React |         60 |          0 |          8 |         68 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/Organization/OrganizationForm.tsx                                  | TypeScript React |        191 |          6 |         20 |        217 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/Organization/OrganizationList.tsx                                  | TypeScript React |         38 |          0 |         10 |         48 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/Organization/OrganizationPage.tsx                                  | TypeScript React |        135 |          2 |         13 |        150 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/SearchableList.tsx                                                 | TypeScript React |        115 |          0 |         16 |        131 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/User/UserList.tsx                                                  | TypeScript React |         32 |         14 |         14 |         60 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/User/UserRemoveModal.tsx                                           | TypeScript React |         32 |          0 |          4 |         36 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/index.ts                                                           | TypeScript       |          3 |          0 |          1 |          4 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/managementData.ts                                                  | TypeScript       |        127 |          0 |          2 |        129 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Authentication/Kratos/KratosButton.tsx                                   | TypeScript React |         29 |          0 |          4 |         33 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Authentication/Kratos/KratosCheckbox.tsx                                 | TypeScript React |         38 |          0 |          6 |         44 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Authentication/Kratos/KratosFeedback.tsx                                 | TypeScript React |         17 |          0 |          3 |         20 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Authentication/Kratos/KratosHidden.tsx                                   | TypeScript React |         10 |          0 |          4 |         14 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Authentication/Kratos/KratosInput.tsx                                    | TypeScript React |         68 |          0 |          8 |         76 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Authentication/Kratos/KratosProps.ts                                     | TypeScript       |          9 |          0 |          3 |         12 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Authentication/Kratos/KratosTermsLabel.tsx                               | TypeScript React |         17 |          1 |          5 |         23 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Authentication/Kratos/helpers.ts                                         | TypeScript       |         72 |          0 |         17 |         89 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Authentication/KratosUI.tsx                                              | TypeScript React |        205 |          1 |         25 |        231 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/AuthenticationBackdrop.tsx                                               | TypeScript React |         19 |          0 |          4 |         23 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/BackdropWithMessage.tsx                                                  | TypeScript React |         43 |          0 |          7 |         50 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Challenge/ChallengeCommunitySection.tsx                                  | TypeScript React |         35 |          0 |          5 |         40 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Challenge/ChallengePopUp.tsx                                             | TypeScript React |         25 |          0 |          5 |         30 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Challenge/OpportunityCard.tsx                                            | TypeScript React |        126 |          0 |          6 |        132 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Community/CommunitySection.tsx                                           | TypeScript React |        118 |          0 |          8 |        126 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Community/Discussions.tsx                                                | TypeScript React |         37 |          0 |          6 |         43 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Community/Members.tsx                                                    | TypeScript React |         36 |          0 |          3 |         39 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Community/Tags.tsx                                                       | TypeScript React |         28 |          0 |          5 |         33 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Community/Updates.tsx                                                    | TypeScript React |         37 |          0 |          6 |         43 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Community/UserPopUp.tsx                                                  | TypeScript React |        242 |          1 |         14 |        257 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/ContextEdit/index.tsx                                                    | TypeScript React |        109 |          1 |         11 |        121 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Ecoverse/Cards.tsx                                                       | TypeScript React |        163 |          0 |         14 |        177 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Ecoverse/ChallengeCard.tsx                                               | TypeScript React |        125 |          1 |          8 |        134 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Ecoverse/EcoverseCard.tsx                                                | TypeScript React |        164 |          4 |          8 |        176 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Ecoverse/EcoverseCommunitySection.tsx                                    | TypeScript React |         31 |          0 |          5 |         36 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Ecoverse/InterestModal.tsx                                               | TypeScript React |        135 |          0 |         11 |        146 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/EditableAvatar.tsx                                                       | TypeScript React |         63 |         15 |          6 |         84 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/MembershipBackdrop.tsx                                                   | TypeScript React |         11 |          0 |          5 |         16 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/NavRings/index.tsx                                                       | TypeScript React |         83 |          0 |         12 |         95 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Opportunity/ActorEdit.tsx                                                | TypeScript React |        160 |          0 |         15 |        175 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Opportunity/ActorGroupCreateModal.tsx                                    | TypeScript React |        101 |          0 |          9 |        110 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Opportunity/AspectEdit.tsx                                               | TypeScript React |        165 |          0 |         16 |        181 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Opportunity/Cards.tsx                                                    | TypeScript React |        356 |          0 |         26 |        382 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Opportunity/OpportunityCommunitySection.tsx                              | TypeScript React |         38 |          0 |          5 |         43 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Opportunity/OpportunityPopUp.tsx                                         | TypeScript React |         34 |          0 |          6 |         40 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Organizations/OrganizationPopUp.tsx                                      | TypeScript React |        195 |          0 |         13 |        208 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/PopUpProps.ts                                                            | TypeScript       |          7 |          0 |          2 |          9 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/ProfileForm/ProfileForm.tsx                                              | TypeScript React |        129 |          2 |         12 |        143 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/Project/Cards.tsx                                                        | TypeScript React |         18 |          0 |          2 |         20 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/User/User.tsx                                                            | TypeScript React |         84 |          5 |          9 |         98 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/User/UserSegment.tsx                                                     | TypeScript React |        109 |          0 |          7 |        116 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/UserProfile/ContactDetails.tsx                                           | TypeScript React |         77 |          0 |          5 |         82 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/UserProfile/MemberOf.tsx                                                 | TypeScript React |         56 |          0 |          6 |         62 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/UserProfile/PendingApplications.tsx                                      | TypeScript React |         84 |          0 |          8 |         92 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/UserProfile/UserForm.tsx                                                 | TypeScript React |        283 |          7 |         21 |        311 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/composite/common/ApplicationButton/ApplicationButton.spec.tsx            | TypeScript React |        157 |         24 |         31 |        212 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/composite/common/ApplicationButton/ApplicationButton.tsx                 | TypeScript React |         93 |          0 |         10 |        103 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/composite/common/OrganizationVerifiedState/OrganizationVerifiedState.tsx | TypeScript React |         42 |          0 |          7 |         49 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/composite/common/SettingsButton/SettingsButton.tsx                       | TypeScript React |         30 |          0 |          5 |         35 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/composite/common/VerifiedStatus/VerifiedStatus.tsx                       | TypeScript React |         39 |          0 |          6 |         45 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/composite/forms/CountrySelect.tsx                                        | TypeScript React |         52 |          0 |          4 |         56 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/composite/index.ts                                                       | TypeScript       |          2 |          0 |          1 |          3 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/composite/layout/App/App.tsx                                             | TypeScript React |        146 |          0 |         11 |        157 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/composite/layout/App/Footer.tsx                                          | TypeScript React |        105 |          0 |          5 |        110 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/composite/layout/App/Header.tsx                                          | TypeScript React |        100 |          1 |         10 |        111 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/composite/layout/App/Main.tsx                                            | TypeScript React |         19 |          0 |          5 |         24 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/composite/layout/AuthenticationLayout.tsx                                | TypeScript React |         32 |          0 |          4 |         36 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/composite/layout/Sidebar/Sidebar.tsx                                     | TypeScript React |        171 |          2 |          6 |        179 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/composite/layout/Sidebar/SidebarItem.tsx                                 | TypeScript React |         71 |          0 |          4 |         75 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/composite/layout/Sidebar/SidebarItemEcoverse.tsx                         | TypeScript React |         70 |          0 |          5 |         75 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/Avatar.tsx                                                          | TypeScript React |        147 |          1 |         10 |        158 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/AvatarContainer.tsx                                                 | TypeScript React |         66 |          0 |          9 |         75 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/Backdrop.tsx                                                        | TypeScript React |         18 |          0 |          5 |         23 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/Breadcrumbs.tsx                                                     | TypeScript React |         51 |          0 |          6 |         57 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/Button.tsx                                                          | TypeScript React |        141 |          3 |         20 |        164 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/Card.tsx                                                            | TypeScript React |        340 |          1 |         41 |        382 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/CardContainer.tsx                                                   | TypeScript React |         92 |          0 |          7 |         99 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/CircleTag.tsx                                                       | TypeScript React |         53 |          0 |          6 |         59 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/ConditionalLink.tsx                                                 | TypeScript React |         16 |          0 |          3 |         19 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/Delimiter.tsx                                                       | TypeScript React |         31 |          0 |          5 |         36 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/Divider.tsx                                                         | TypeScript React |         61 |          0 |          4 |         65 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/ErrorBlock.tsx                                                      | TypeScript React |         20 |          0 |          2 |         22 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/Hidden.tsx                                                          | TypeScript React |         53 |          1 |          9 |         63 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/Icon.tsx                                                            | TypeScript React |         39 |          2 |          7 |         48 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/IconButton.tsx                                                      | TypeScript React |         85 |          3 |         14 |        102 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/Image.tsx                                                           | TypeScript React |         56 |          0 |          7 |         63 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/Lifecycle.tsx                                                       | TypeScript React |        209 |          6 |         24 |        239 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/LifecycleButton.tsx                                                 | TypeScript React |          9 |          0 |          3 |         12 |
| /home/nsmyth/Dev/Alkemio/client-web/src/components/core/Loading/Loading.spec.tsx                                            | TypeScript React |         20 |          9 |         10 |         39 |
